
# File: Confusable.txt
# Version: 1.4
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: 丨・亅
U+4E28 U+4E85
U+4E05 U+4E01
U+4E2A U+201A4
U+21B54 U+5C0F
U+30020 U+306C5
U+4E2B U+2CF38
U+5341 U+2CEB0
U+2C09B U+2CEB0
U+2CEB1 U+624D

# Group: 亅・𠄌
U+4E85 U+2010C
U+4E01 U+30000

# Group: 丁・𠄐
U+4E01 U+20110

# Group: 了・𠄐
U+4E86 U+20110

# Group: 冂・冖
U+5182 U+5196

# Group: 𰃦・宀
U+300E6 U+5B80

# Group: 亦・𰁜
U+4EA6 U+3005C

# Group: ⿲幺言幺・𮘎・䜌
U+2E60E U+470C
U+2D169 U+535B
U+218AE U+5B4C
U+31A86 U+7063
U+2D7C4 U+6200
U+31A8D U+7064
U+20B93 U+2CF60
U+32071 U+30AF9

# Group: 圝・𡈻・圞
U+571D U+2123B U+571E

# Group: ⿲幺幺幺・⿲糸糸糸・⿲糹糹糹
U+2452A U+20B97
U+2452D U+3080A

# Group: 𠮗・𰠊
U+20B97 U+3080A

# Group: 𤔪・𤔭
U+2452A U+2452D

# Group: 𠧎・𤕍
U+209CE U+2454D

# Group: 𠧏・𰠉
U+209CF U+30809

# Group: 虔・䖍
U+8654 U+458D

# Group: 皋・𦤎
U+768B U+2690E
U+66A4 U+2328A
U+7346 U+2C342

# Group: 皋・臯
U+768B U+81EF
U+37F8 U+21F17
U+3FC1 U+24E83
U+450C U+26E86
U+468C U+2788C
U+4702 U+27B01
U+4730 U+27BCC
U+48D7 U+28772
U+4AE7 U+2954D
U+55E5 U+5637
U+66A4 U+66CD
U+69D4 U+6A70
U+6EDC U+23F4E
U+24146 U+24161
U+7346 U+734B
U+769E U+76A5
U+7FF1 U+7FFA
U+97DF U+293E4
U+9DCE U+9DF1
U+217F7 U+21816
U+25845 U+25890
U+267B5 U+267DE
U+28380 U+283A6

# Group: 皋・皐
U+768B U+7690
U+55E5 U+5651
U+66A4 U+66AD
U+69D4 U+69F9
U+7346 U+7354
U+769E U+76A1
U+7FF1 U+7FF6

# Group: 𦤎・臯
U+2690E U+81EF
U+2328A U+66CD
U+2C342 U+734B

# Group: 𦤎・皐
U+2690E U+7690
U+2328A U+66AD
U+2C342 U+7354

# Group: 自夲・臯
U+23636 U+6A70

# Group: 𭢫・𰔰
U+2D8AB U+30530

# Group: 菐・業
U+83D0 U+696D
U+50D5 U+3492
U+26FCD U+27038
U+5657 U+35FC
U+5E5E U+3864
U+2DD85 U+3E01
U+245F5 U+3E23
U+2613E U+431C
U+49E4 U+49E8
U+2D5D8 U+5DAA
U+64B2 U+64C8
U+232AA U+66D7
U+6A38 U+6A8F
U+23FB4 U+6FB2
U+2E045 U+790F
U+2878A U+9134
U+4D06 U+9E08
U+2B996 U+207EA
U+58A3 U+2147F
U+2D7B4 U+2289C
U+749E U+24A76
U+24FA3 U+24FA7
U+77A8 U+252D9
U+7A59 U+258C8
U+26882 U+26867
U+8D0C U+27E22
U+93F7 U+28B65
U+29440 U+29443
U+29A9B U+29AA4
U+2A2E1 U+2A2EB
U+2A4A2 U+2A4B2
U+2A588 U+2A58A
U+8946 U+2E5B7
U+8E7C U+2E719
U+91AD U+2E845

# Group: 業・⿱𦍎
U+35FC U+21056
U+29443 U+29444

# Group: 宀・穴・宂
U+3771 U+2E125
U+5BF1 U+41BF
U+5BCE U+259C3
U+21B16 U+25A52
U+5BE4 U+7AB9
U+5BE3 U+25A09
U+2D50F U+2E114
U+5BE2 U+25A0A
U+5BD6 U+41AE
U+5BD0 U+259CC
U+2B770 U+41B4

# Group: 𱷊・𥨊
U+31DCA U+25A0A

# Group: 爿・片
U+723F U+7247
U+3E1B U+724A
U+3E1C U+245C7
U+599D U+245A9
U+6215 U+229A4
U+65A8 U+23094
U+7240 U+2DDC9
U+7243 U+7252
U+7244 U+31B5F
U+7245 U+7257
U+7246 U+245FC
U+22AAB U+6278
U+2456E U+245AA
U+24571 U+245B0
U+24575 U+2DDCA
U+24577 U+3E20
U+2457E U+245C2
U+24586 U+724B
U+24590 U+3E22
U+24593 U+245EE
U+24596 U+245F6
U+24598 U+245F8
U+2459D U+245FB
U+2459F U+245FA
U+245A2 U+24603
U+278BC U+278C9
U+29FC4 U+2CDC3
U+2AEA0 U+7255
U+2C301 U+245B9
U+2C303 U+245D7
U+2C30C U+245F9
U+2C30F U+7258
U+2DDC8 U+24600
U+2E47B U+26F4C
U+3080E U+245AC
U+30812 U+245BD
U+31B4E U+2C313

# Group: 𤖥・𤖦
U+245A5 U+245A6

# Group: 𨘹・𨙆
U+28639 U+28646

# Group: 𰀉・𬺿・束
U+30009 U+2CEBF U+675F

