
# File: Simplified-Traditional.txt
# Date: 2023-05-20T17:17:10.517Z
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: 广・廣
U+5E7F U+5EE3
U+3CBF U+7007
U+5739 U+58D9
U+6269 U+64F4
U+65F7 U+66E0
U+72B7 U+7377
U+77FF U+7926
U+7EA9 U+7E8A
U+201B2 U+5123
U+24193 U+720C
U+27234 U+2B2E7
U+27FC8 U+281C1
U+28E18 U+28F4F
U+2BA55 U+569D
U+2CABA U+28921
U+2D6A6 U+5F4D
U+303F5 U+5164
U+3043E U+61ED
U+305D3 U+6ACE
U+30A1C U+7A6C
U+30AA9 U+42AF
U+30F5A U+945B
U+3113E U+299C9
U+312C8 U+2A37F

# Group: 产・產
U+4EA7 U+7522
U+305E1 U+3BC6
U+2C87B U+42B2
U+31419 U+5277
U+21DB4 U+5D7C
U+2BF2A U+644C
U+6D50 U+6EFB
U+94F2 U+93DF
U+8428 U+85A9
U+2B9F7 U+25F7D
U+31F64 U+26E30
U+30E0E U+28109
U+2CE85 U+2A65E
U+30D35 U+2E637
U+30ABC U+30ACF

# Group: 台・檯
U+53F0 U+6AAF

# Group: 𭘚・𢅣
U+2D61A U+22163

# Group: 㐫・𡿺
U+57B4 U+5816
U+607C U+60F1
U+3087B U+7459
U+8111 U+8166
U+279E3 U+27A63
U+2BF2D U+2BF68
U+2AD42 U+2C19B

# Group: 党・黨
U+515A U+9EE8
U+50A5 U+513B
U+8C20 U+27AC6 U+8B9C
U+954B U+93B2 U+9482
U+235CB U+6B13
U+23EBC U+7059
U+2A905 U+302C6
U+2BF6E U+6529
U+2C2B5 U+7223
U+2D267 U+2D340
U+2D9CB U+66ED
U+3047F U+6203
U+30979 U+77D8
U+3212A U+32132

# Group: 尺・犀
U+5C3A U+7280
U+8FDF U+9072
U+216C4 U+3728
U+8A33 U+4704
U+362E U+5880
U+9FC8 U+5FB2
U+629E U+6468
U+233E7 U+6A28
U+6CA2 U+6F3D
U+2C4E4 U+7A49
U+4F2C U+2032C
U+21D78 U+21F27
U+26B28 U+26F17
U+8687 U+27477
U+922C U+28B2F

# Group: 用・雍
U+62E5 U+64C1
U+4F63 U+3495
U+212A4 U+3672
U+20C29 U+5670
U+23CD4 U+6FAD
U+75C8 U+7655
U+26678 U+81C3
