
# File: Unifiable.txt
# Version: 1.59
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: UCV-1 (王・𡈼・壬)
U+4E1F U+4E22
U+738B U+2123C U+58EC
U+4EFC U+4EFB
U+6282 U+22AAD
U+6789 U+23405
U+72C2 U+72C5
U+73FE U+27812
U+2561B U+794D
U+25FC1 U+7D1D
U+8ED6 U+8EE0
U+8FCB U+28473
U+958F U+28CDD
U+980A U+29459
U+3575 U+20C03
U+27976 U+46BE
U+248F4 U+2151E
U+26B2C U+26B30
U+284CF U+284D2
U+2908A U+29090
U+5FF9 U+225D6

# Group: UCV-6 (丰)
U+2055B U+20C6C

# Group: UCV-7 (戸・户・戶)
U+6238 U+6237 U+6236

# Group: UCV-8 (天・夭)
U+541E U+5451
U+215E4 U+4E54
U+5929 U+592D
U+6D16 U+23D57
U+7946 U+7945
U+8695 U+27255
U+46B6 U+8A1E
U+26B1E U+82BA	*

# Group: UCV-11 (教・敎)
U+6559 U+654E

# Group: UCV-13 (卬・卭)
U+6602 U+663B
U+536C U+536D
U+44A2 U+26B4E
U+4B79 U+2989E
U+29FB1 U+2A003

# Group: UCV-15 (歲・歳)
U+6B72 U+6B73

# Group: UCV-16 (叁・参)
U+53C1 U+53C2
U+23B9F U+6BF5
U+2B304 U+30D02	*
U+2D227 U+301FC	*

# Group: UCV-17 (叄・參)
U+53C4 U+53C3
U+2280A U+6158
U+24859 U+3E91

# Group: UCV-22 (丷・八)
U+4E37 U+516B
U+21C24 U+20505
U+20BA6 U+3563	*
U+215DC U+215D5	*

# Group: UCV-23 (䒑・⿱八一)
U+4F4D U+201F8
U+20503 U+516E
U+21A59 U+41A5
U+27FEA U+27FDD

# Group: UCV-26 (龹・𠔉)
U+9FB9 U+20509
U+2022B U+20216

# Group: UCV-27 (兑・兌)
U+5151 U+514C
U+60A6 U+6085
U+635D U+6329
U+655A U+6553
U+68C1 U+68B2
U+6D9A U+6D97
U+7A0E U+7A05
U+8131 U+812B
U+8715 U+86FB
U+8AAC U+8AAA
U+92ED U+92B3
U+95B2 U+95B1
U+30225 U+2D295	*

# Group: UCV-27a (叜・⿳穴𠆢又・⿳穴八又)
U+2887B U+4907
U+4939 U+28A3F
U+202E2 U+202AF
U+2076C U+20760
U+23BB8 U+23BAF
U+2521F U+25203
U+25511 U+25509

# Group: UCV-28 (𡭔・⺌)
U+5C19 U+5C1A
U+22450 U+5F53

# Group: UCV-32 (⿱罒水・𥄳・眔)
U+24E04 U+761D
U+25133 U+7714
U+29E4C U+9C25
U+26FBD U+26FDA

# Group: UCV-37 (十・𠂇)
U+520A U+520B
U+5341 U+20087
U+9097 U+48B4

# Group: UCV-41 (凢・凣)
U+51E2 U+51E3

# Group: UCV-43 (卧・臥)
U+5367 U+81E5

# Group: UCV-46 (糸・糹)
U+7CF8 U+7CF9

# Group: UCV-48 (匀・勻)
U+5300 U+52FB

# Group: UCV-49 (戌・戍)
U+620C U+620D
U+26BA0 U+8357
U+3585 U+20C8C

# Group: UCV-51 (𥁋・盇)
U+2504B U+76C7

# Group: UCV-53 (月・⺼)
U+3B3A U+5E50
U+670C U+80A6
U+670F U+80D0
U+6710 U+80CA
U+6713 U+8101
U+6718 U+8127
U+6723 U+81A7
U+6726 U+4443
U+6727 U+268AB
U+3B35 U+80F6
U+23377 U+813C
U+266E2 U+8158
U+267FE U+8192
U+3B36 U+266E9
U+3B3B U+4420
U+43DE U+2669C
U+23366 U+2667F
U+23385 U+26772
U+2339B U+26808
U+2339F U+26805
U+2668B U+26288
U+26866 U+26842
U+670A U+43D3	*
U+318B9 U+80FF	*
U+4DBB U+43D9	*
U+4DBC U+440B	*
U+4DBD U+6721	*
U+4DBA U+80AD	*
U+3B3F U+2B736	*

# Group: UCV-55 (凡・卂)
U+51E1 U+5342
U+674B U+3B44
U+20666 U+7162
U+44AE U+8315
U+8283 U+4496
U+8A09 U+8A0A
U+8ED3 U+8ED0
U+28459 U+8FC5
U+9AAA U+29A16
U+29FA8 U+9CF5
U+2423A U+3DC0
U+3EAC U+248F2
U+4B75 U+29870
U+24726 U+24722
U+24B28 U+24B2B
U+250F5 U+250F4
U+2BC09 U+36A8	*
U+6C4E U+6C5B	*
U+31E34 U+7C78	*
U+32082 U+8BAF	*
U+322D4 U+29691	*
U+23386 U+26760	*

# Group: UCV-56 (凡)
U+2959B U+2959C

# Group: UCV-61a (永・⿱二水)
U+2896D U+92A2
U+6810 U+67E1	*

# Group: UCV-64 (亼・亽)
U+4EBC U+4EBD

# Group: UCV-70 (告・吿)
U+544A U+543F

# Group: UCV-74 (畀・𢌿)
U+7540 U+2233F
U+346D U+20276
U+21338 U+21339
U+24C7F U+2235A
U+22BA7 U+22B85

# Group: UCV-77 (舎・舍)
U+8217 U+8216
U+820E U+820D

# Group: UCV-79 (𭃂・冄)
U+90A3 U+2867B
U+26403 U+2640E
U+2946B U+2945E
U+2D0C2 U+5184	*

# Group: UCV-80 (彐・𫜹・・)
U+5F53 U+22450
U+5F50 U+2B739	*
U+22472 U+26133	*

# Group: UCV-82 (𰀂・𰀄)
U+30002 U+30004	*

# Group: UCV-83 (毌・田)
U+6BCC U+7530

# Group: UCV-84 (另・叧・𠮠)
U+522B U+5225
U+67FA U+67B4
U+53E6 U+53E7 U+20BA0
U+2084B U+20555

# Group: UCV-85 (坙・巠)
U+5759 U+5DE0

# Group: UCV-87 (圣・𢀖)
U+2084D U+52B2
U+5723 U+22016
U+67FD U+23415
U+23CBE U+6CFE
U+241C2 U+70C3
U+2544B U+7841
U+2667E U+80EB
U+2B7AC U+75C9	*
U+2B53D U+9649	*
U+3164D U+2BC1B	*
U+86CF U+30CB6	*

# Group: UCV-88 (圼・𭥐)
U+27A1A U+27A24
U+573C U+2D950	*

# Group: UCV-89 (圼・𭥐・𱼭・𬛸)
U+6BC0 U+6BC1
U+634F U+63D1
U+9667 U+9689
U+6D85 U+6E7C
U+363F U+21364
U+2424A U+3DD0
U+27A1A U+46FC
U+2348B U+23555
U+266E0 U+26786
U+573C U+2D950 U+31F2D U+2C6F8	*
U+26BD6 U+26D50	*

# Group: UCV-91 (角)
U+27959 U+23040

# Group: UCV-92 (夂・夊)
U+5902 U+590A
U+6C77 U+23C8B

# Group: UCV-93 (亏・亐)
U+6C61 U+6C5A
U+4E8F U+4E90
U+6747 U+233D3
U+38AA U+223B0
U+286A4 U+2869B

# Group: UCV-96 (山・屮・䶹)
U+20946 U+5329
U+5C71 U+5C6E
U+5C75 U+20A32
U+5C7E U+8278
U+5D2E U+21E4D
U+5DC2 U+96DF
U+21DC8 U+8294
U+8C48 U+27BDB
U+21D73 U+37A3
U+37AD U+215E1
U+37B7 U+2125A
U+20553 U+21D0A
U+213A8 U+21D20
U+21BEA U+21BED
U+21D4F U+21D01
U+21D5E U+21D07
U+21DAB U+21D0E
U+21E46 U+21D1B
U+21E31 U+21D1C
U+21E7F U+21D1E
U+21F01 U+21D25
U+21F21 U+21D26
U+2253A U+22537
U+22F43 U+22F1F
U+23CEB U+23D6D
U+24239 U+2425E
U+26B60 U+26B6B

# Group: UCV-98 (𢆍・𦥛・臿)
U+633F U+63F7 U+63D2
U+3C31 U+6B43
U+2218D U+2695B U+81FF
U+298D9 U+4BA2
U+20715 U+2075E
U+24FEA U+25008

# Group: UCV-100 (羊・𦍌)
U+7F8A U+2634C

# Group: UCV-104 (丸)
U+6267 U+22A7E

# Group: UCV-106 (刃・刄)
U+4EDE U+4EED
U+5203 U+5204
U+5292 U+5294
U+976D U+9771
U+91F0 U+91FC

# Group: UCV-108 (𡙁・爽)
U+21641 U+723D
U+204F5 U+204F7

# Group: UCV-110 (具)
U+4FF1 U+5036

# Group: UCV-111 (⿺𠃊𥃭・直)
U+5024 U+503C
U+60B3 U+60EA

# Group: UCV-112 (真・眞)
U+586B U+5861
U+5DD4 U+5DD3
U+614E U+613C
U+69D9 U+69C7
U+771F U+771E
U+93AE U+93AD
U+985B U+985A
U+9DCF U+9DC6
U+7AB4 U+259D1

# Group: UCV-114 (且・旦)
U+4E14 U+65E6
U+4F39 U+4F46
U+521E U+206E3
U+52A9 U+2084E
U+5480 U+547E
U+5765 U+5766
U+59D0 U+59B2
U+601A U+601B
U+62AF U+62C5
U+67E4 U+67E6
U+6A1D U+23641
U+6CAE U+6CF9
U+241C5 U+709F
U+72D9 U+72DA
U+75BD U+75B8
U+7820 U+25472
U+7956 U+25635
U+7B21 U+7B2A
U+7D44 U+42CE
U+7F5D U+262A5
U+43E3 U+80C6
U+82F4 U+26B39
U+86C6 U+45A7
U+8893 U+8892
U+278DE U+89DB
U+8A5B U+8A5A
U+8D84 U+47A1
U+8DD9 U+2800F
U+924F U+926D
U+977B U+977C
U+9D21 U+9D20
U+3879 U+387A
U+48EF U+2881A
U+4AB6 U+29470
U+4C49 U+4C47
U+2A435 U+4D63
U+21A0B U+21A15
U+22CB6 U+22D08
U+241D9 U+241C1
U+2C17F U+2319F	*

# Group: UCV-115 (査・查)
U+67FB U+67E5

# Group: UCV-118 (日・曰・冃)
U+22A8F U+6287
U+665F U+20560
U+6772 U+20556
U+6C68 U+6C69
U+2319A U+2055D
U+2322F U+20566
U+65E5 U+66F0 U+5183	*
U+23353 U+20570	*
U+66F6 U+3ADA	*
U+2D957 U+660C	*
U+232AD U+232AB	*

# Group: UCV-119 (儿・几)
U+79BF U+79C3
U+9839 U+983D
U+513F U+51E0
U+5141 U+2062D
U+5145 U+2063A
U+34C1 U+5197
U+58F2 U+58F3
U+5C23 U+21BC2
U+9217 U+28961
U+2048E U+9CEC
U+22A9A U+22AA8
U+4DB7 U+53FD	*

# Group: UCV-120 (㔾・己)
U+5377 U+5DFB
U+5708 U+570F
U+537A U+5DF9
U+21D31 U+5C7A
U+21D3C U+5C82
U+353E U+5DF1
U+225AD U+5FCB
U+6C3E U+23C86
U+26AFE U+8291
U+25417 U+25426
U+282A0 U+282B2

# Group: UCV-121 (己・巳)
U+572E U+572F
U+5983 U+216B1
U+5C7A U+21D46
U+5DF1 U+5DF3
U+6539 U+653A
U+675E U+233CC
U+23C86 U+6C5C
U+28948 U+91F2
U+9B62 U+29D57
U+37AF U+21D52
U+23887 U+3C1D
U+21293 U+21288
U+226A2 U+22693
U+24502 U+244FF
U+22049 U+5DFD

# Group: UCV-122 (己・已)
U+572E U+2124F
U+5C7A U+21D3E
